Entity,Code,Year,Population of the top 100 most populous cities,Projected population of the top 100 most populous cities (Projected),Population of the top 100 most populous cities (Annotations),Projected population of the top 100 most populous cities (Annotations)
Abidjan,,1950,118449.73,,Côte d'Ivoire,
Abidjan,,1955,192180.8,,Côte d'Ivoire,
Abidjan,,1960,275050,,Côte d'Ivoire,
Abidjan,,1965,417559.72,,Côte d'Ivoire,
Abidjan,,1970,654105.8,,Côte d'Ivoire,
Abidjan,,1975,1024745.4,,Côte d'Ivoire,
Abidjan,,1980,1526280.8,,Côte d'Ivoire,
Abidjan,,1985,1935737.5,,Côte d'Ivoire,
Abidjan,,1990,2390247,,Côte d'Ivoire,
Abidjan,,1995,2896490.2,,Côte d'Ivoire,
Abidjan,,2000,3441805.8,,Côte d'Ivoire,
Abidjan,,2005,3963591,,Côte d'Ivoire,
Abidjan,,2010,4501574,,Côte d'Ivoire,
Abidjan,,2015,5105464.5,,Côte d'Ivoire,
Abidjan,,2020,6063950.5,6063950,Côte d'Ivoire,Côte d'Ivoire
Abidjan,,2025,,6621711,,Côte d'Ivoire
Abidjan,,2030,,7239280,,Côte d'Ivoire
Abidjan,,2035,,7835112,,Côte d'Ivoire
Abidjan,,2040,,8489866,,Côte d'Ivoire
Abidjan,,2045,,9126281,,Côte d'Ivoire
Abidjan,,2050,,9775147,,Côte d'Ivoire
Abidjan,,2055,,10331517,,Côte d'Ivoire
Abidjan,,2060,,10922087,,Côte d'Ivoire
Abidjan,,2065,,11429753,,Côte d'Ivoire
Abidjan,,2070,,11959907,,Côte d'Ivoire
Abidjan,,2075,,12461794,,Côte d'Ivoire
Abidjan,,2080,,12906766,,Côte d'Ivoire
Abidjan,,2085,,13369161,,Côte d'Ivoire
Abidjan,,2090,,13808990,,Côte d'Ivoire
Abidjan,,2095,,14240210,,Côte d'Ivoire
Abidjan,,2100,,14611676,,Côte d'Ivoire
Accra,,1950,256493.38,,Ghana,
Accra,,1955,355778.38,,Ghana,
Accra,,1960,493531.4,,Ghana,
Accra,,1965,587532,,Ghana,
Accra,,1970,721758.2,,Ghana,
Accra,,1975,856210.44,,Ghana,
Accra,,1980,1167570.8,,Ghana,
Accra,,1985,1423901.2,,Ghana,
Accra,,1990,1676167.9,,Ghana,
Accra,,1995,2166066.2,,Ghana,
Accra,,2000,2612070.5,,Ghana,
Accra,,2005,3224177.5,,Ghana,
Accra,,2010,3938129.5,,Ghana,
Accra,,2015,4598412.5,,Ghana,
Accra,,2020,5206925,5206925,Ghana,Ghana
Accra,,2025,,5592780,,Ghana
Accra,,2030,,5966460,,Ghana
Accra,,2035,,6309498,,Ghana
Accra,,2040,,6650884,,Ghana
Accra,,2045,,6977550,,Ghana
Accra,,2050,,7231113,,Ghana
Accra,,2055,,7470302,,Ghana
Accra,,2060,,7653664,,Ghana
Accra,,2065,,7804579,,Ghana
Accra,,2070,,7954330,,Ghana
Accra,,2075,,8067640,,Ghana
Accra,,2080,,8169098,,Ghana
Accra,,2085,,8243085,,Ghana
Accra,,2090,,8287918,,Ghana
Accra,,2095,,8326868,,Ghana
Accra,,2100,,8332722,,Ghana
Addis Ababa,,1950,355224.12,,Ethiopia,
Addis Ababa,,1955,410040.25,,Ethiopia,
Addis Ababa,,1960,473324.2,,Ethiopia,
Addis Ababa,,1965,561696.06,,Ethiopia,
Addis Ababa,,1970,687770.1,,Ethiopia,
Addis Ababa,,1975,868901.25,,Ethiopia,
Addis Ababa,,1980,1142534.9,,Ethiopia,
